cluster,latitude,longitude,Cluster_Label
330,41.837617895,-87.621857273,330.0
331,41.844074267,-87.628442902,331.0
332,41.738884922,-87.663145149,332.0
333,41.691781162,-87.681176287,333.0
334,41.690464609,-87.668826246,334.0
335,41.8115946065,-87.7518184985,335.0
336,41.729215396,-87.576740784,336.0
337,41.996073378,-87.786792987,337.0
338,41.928741291,-87.671728297,338.0
339,41.719137564,-87.549247181,339.0
340,41.7942904705,-87.606181304,340.0
341,41.823274065,-87.62642495,341.0
342,41.851992829,-87.688888738,342.0
343,41.797601163,-87.624157817,343.0
344,41.867251542,-87.639235361,344.0
345,41.932300673499995,-87.676890454,345.0
346,41.9542756565,-87.6690668365,346.0
347,41.777311903,-87.787025435,347.0
348,41.6943335085,-87.652715044,348.0
349,42.017632947,-87.690186314,349.0
350,41.976762981,-87.900983721,350.0
351,41.782366539,-87.593083513,351.0
352,42.002115959,-87.692435011,352.0
353,41.824177767,-87.7045228995,353.0
354,41.679154549,-87.639539915,354.0
355,41.884994578,-87.716221792,355.0
356,41.7270315185,-87.5974055685,356.0
357,41.947664094,-87.770190206,357.0
358,41.863470917,-87.734886704,358.0
359,41.8267839505,-87.670334827,359.0
360,41.846922298,-87.646804592,360.0
361,41.790771433,-87.638267865,361.0
362,41.997085606,-87.65560155,362.0
363,41.785161229,-87.620575088,363.0
364,41.863739949,-87.676167707,364.0
365,41.783339157,-87.714140586,365.0
366,41.843620666,-87.652881936,366.0
367,41.701237528,-87.607396781,367.0
368,41.740497814,-87.54538536,368.0
369,41.925098106,-87.672293669,369.0
370,41.759381038,-87.638474067,370.0
371,41.795671974,-87.762600661,371.0
372,41.9617225265,-87.700924767,372.0
373,41.972491736,-87.756041937,373.0
374,41.740439471,-87.702802347,374.0
375,41.863457262,-87.652054817,375.0
376,42.001883866,-87.69525037,376.0
377,41.831818944,-87.61032506,377.0
378,41.740918989,-87.631967753,378.0
379,41.816824262,-87.695690344,379.0
380,41.930022549,-87.636320176,380.0
381,41.657334836,-87.547137555,381.0
382,41.8035778025,-87.5836928135,382.0
383,41.72972256,-87.6479422655,383.0
384,41.800804409,-87.584487767,384.0
385,41.790974278,-87.59806068,385.0
386,41.945908442,-87.796756939,386.0
387,41.794289593,-87.771659896,387.0
388,41.972168081,-87.746759503,388.0
389,41.775469715,-87.633314639,389.0
390,41.691854786,-87.538900974,390.0
391,41.702668901,-87.634255266,391.0
392,41.680365008,-87.656603329,392.0
393,41.788218246,-87.781653726,393.0
394,41.864217865,-87.702173146,394.0
395,41.809280476,-87.591967028,395.0
396,41.728813609,-87.557534551,396.0
397,41.893990113,-87.702155577,397.0
398,41.728968295,-87.613505814,398.0
399,41.95257487,-87.661592207,399.0
400,41.764426463,-87.640068507,400.0
401,41.712255334,-87.635692906,401.0
402,41.8170084075,-87.6871467205,402.0
403,41.825636211,-87.684909887,403.0
404,41.763093539,-87.6200243285,404.0
405,41.975099794,-87.679095874,405.0
406,41.944109951,-87.821653096,406.0
407,41.741820708,-87.566086719,407.0
408,41.743302962,-87.54669212350001,408.0
409,41.84238663,-87.623325196,409.0
410,41.692671414,-87.684868582,410.0
411,41.929988482,-87.775798802,411.0
412,41.922005911,-87.800690494,412.0
413,41.688218178,-87.537357913,413.0
414,41.777800346,-87.771486099,414.0
415,41.741949408,-87.617054222,415.0
416,41.90216959,-87.654339768,416.0
417,41.777185510500004,-87.759992894,417.0
418,41.950900211,-87.684731521,418.0
419,41.727567355,-87.564530885,419.0
420,41.792765594,-87.760686578,420.0
421,41.746544055,-87.626910458,421.0
422,41.714556705,-87.552344491,422.0
423,41.715199632,-87.535277245,423.0
424,41.958902502,-87.786783523,424.0
425,41.812945994,-87.709060987,425.0
426,41.867296549,-87.772928034,426.0
427,41.80169033,-87.703792065,427.0
428,41.920534154,-87.784567499,428.0
429,41.669959233,-87.628353741,429.0
430,41.824579984,-87.643519346,430.0
431,41.972477091,-87.7582718855,431.0
432,41.6824329315,-87.6847241745,432.0
433,41.76156662,-87.708343942,433.0
434,41.709085198,-87.534078153,434.0
435,41.749460005,-87.72089612,435.0
436,41.8126851205,-87.7113164665,436.0
437,41.74355527,-87.630905732,437.0
438,41.8859585235,-87.704803319,438.0
439,41.745884347,-87.596310995,439.0
440,41.810395592,-87.745674553,440.0
441,41.990394774,-87.705861127,441.0
442,41.987442959,-87.693227256,442.0
443,41.803515121,-87.742952841,443.0
444,41.712175526,-87.602968356,444.0
445,41.984710106,-87.768329253,445.0
446,41.7112301505,-87.599335833,446.0
447,41.933678269,-87.7724066615,447.0
448,41.793106085,-87.732938129,448.0
449,41.71200711,-87.61632095,449.0
450,41.8143675735,-87.604476539,450.0
451,41.965722052,-87.667032321,451.0
452,41.70592204,-87.681604302,452.0
453,41.974361419000005,-87.7184037695,453.0
454,41.707519433,-87.601839023,454.0
455,41.775885302,-87.631760999,455.0
456,41.861335178,-87.625690175,456.0
457,42.002934315,-87.817133034,457.0
458,41.708272269,-87.625940706,458.0
459,41.784358494,-87.659478171,459.0
460,41.705047032,-87.60273863,460.0
461,41.722308987,-87.551073137,461.0
462,41.726210575,-87.568760253,462.0
463,41.917030319,-87.64845566150001,463.0
464,41.7413032415,-87.61465456600001,464.0
465,41.767168314,-87.595179161,465.0
466,41.9678565815,-87.771230417,466.0
467,41.88652124,-87.616601344,467.0
468,41.762896484,-87.632149984,468.0
469,41.707756212,-87.580708771,469.0
470,41.774274847,-87.740944201,470.0
471,41.834124242,-87.668880732,471.0
472,41.656611615,-87.610488085,472.0
473,42.002225812,-87.680277948,473.0
474,41.76585297,-87.680741439,474.0
475,41.762809823,-87.640027854,475.0
476,41.783007621,-87.671601669,476.0
477,41.79054357,-87.780130326,477.0
478,41.865106047,-87.619020043,478.0
479,41.932222582,-87.683432779,479.0
480,41.97551745,-87.729569215,480.0
481,41.766091353,-87.668708978,481.0
482,41.651431329,-87.527258234,482.0
483,41.72593161,-87.553914058,483.0
484,41.975752452,-87.708700208,484.0
485,41.73516861,-87.703313645,485.0
486,41.772743598,-87.625143469,486.0
487,41.820409128,-87.6275349845,487.0
488,41.7112258745,-87.53528014150001,488.0
489,41.8093320695,-87.7003479725,489.0
490,41.682384553,-87.654228259,490.0
491,41.7244842345,-87.634824134,491.0
492,41.935428755,-87.783400598,492.0
493,41.916930143,-87.7950387405,493.0
494,41.856445191,-87.7199797515,494.0
495,41.758815423,-87.680535346,495.0
496,41.931582761,-87.742772889,496.0
497,41.877274235,-87.661873779,497.0
498,41.79639731,-87.723251281,498.0
499,41.7693202,-87.595223944,499.0
500,41.811443713,-87.598497274,500.0
501,41.650910529,-87.547159656,501.0
502,41.950452527,-87.765480332,502.0
